Country,Cumulative number of case(s),Number of deaths,Number recovered,Date
Germany,1,0,0,3/17/2003
Canada,8,2,0,3/17/2003
Singapore,20,0,0,3/17/2003
"Hong Kong SAR, China",95,1,0,3/17/2003
Switzerland,2,0,0,3/17/2003
Thailand,1,0,0,3/17/2003
Viet Nam,40,1,0,3/17/2003
Germany,2,0,0,3/18/2003
Canada,8,2,0,3/18/2003
China,0,0,0,3/18/2003
Singapore,23,0,0,3/18/2003
"Hong Kong SAR, China",123,1,0,3/18/2003
"Taiwan, China",3,0,0,3/18/2003
Thailand,1,0,0,3/18/2003
Viet Nam,57,1,0,3/18/2003
Slovenia,1,0,0,3/18/2003
United Kingdom,1,0,0,3/18/2003
Canada,8,2,0,3/19/2003
China,0,0,0,3/19/2003
Germany,1,0,0,3/19/2003
"Hong Kong SAR, China",150,5,0,3/19/2003
Singapore,31,0,0,3/19/2003
Slovenia,1,0,0,3/19/2003
Spain,1,0,0,3/19/2003
